Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
TIFF Get Size Proc,NM V NM N,V NM N,NM V NM N,N V N N,{'opencv.srcml.xml_identifiers'},C
unpack texture Blend Func,V NM NM N,V N N N,V NM NM N,V N N N,{'irrlicht.srcml.xml_identifiers'},C
write tcp data,V NM N,V N N,V NM N,V NM NPL,{'grpc.srcml.xml_identifiers'},C
always preview,VM V,N N,NM N,VM N,{'gimp.srcml.xml_identifiers'},C
animation box,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
avg 1,N D,N N,NM N,N D,{'opencv.srcml.xml_identifiers'},C
best b,NM N,NM N,NM N,NM N,{'gimp.srcml.xml_identifiers'},C
byte Count,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},C
compiling Contexts,V NPL,N N,NM N,NM NPL,{'kdevelop.srcml.xml_identifiers'},C
corr QC,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},C
default look,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
dst Saturation,NM N,N N,NM N,V N,{'calligra.srcml.xml_identifiers'},C
element spec,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
face index,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
forked iter,V N,NM N,NM N,NM N,{'blender.srcml.xml_identifiers'},C
identifier quark,NM N,N N,NM N,NM N,{'gimp.srcml.xml_identifiers'},C
idx u,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
inv unit scale,NM NM N,N N N,NM NM N,N N N,{'blender.srcml.xml_identifiers'},C
is a empty,V DT N,POSSEFAILURE,NM NM N,V DT NM,{'grpc.srcml.xml_identifiers'},C
label casefold,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
line 1 grad,NM D N,N NM N,NM NM N,N D N,{'gimp.srcml.xml_identifiers'},C
melanin ofs,NM N,N N,NM N,N NPL,{'blender.srcml.xml_identifiers'},C
nbr gaps,NM NPL,N N,NM N,N NPL,{'blender.srcml.xml_identifiers'},C
nearest point,NM N,V,NM N,NM N,{'blender.srcml.xml_identifiers'},C
need fallback,V N,V N,NM N,N N,{'blender.srcml.xml_identifiers'},C
neighbor pos,NM N,N N,NM N,N NPL,{'gimp.srcml.xml_identifiers'},C
new image height,NM NM N,NM N N,NM NM N,NM N N,{'gimp.srcml.xml_identifiers'},C
new order,NM N,NM N,NM N,NM N,{'blender.srcml.xml_identifiers'},C
num primes,NM NPL,N N,NM N,N V,{'Telegram.srcml.xml_identifiers'},C
num Vec Per Segment,NM N P N,N N N N,NM NM NM N,N N P N,{'Telegram.srcml.xml_identifiers'},C
num Verts In A,NM NPL P N,POSSEFAILURE,NM NM NM N,N NPL P N,{'bullet3.srcml.xml_identifiers'},C
out d G,N NM NM,P NM N,NM NM N,P N N,{'Telegram.srcml.xml_identifiers'},C
paint radio,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
param Def,NM N,N N,NM N,V N,{'ogre.srcml.xml_identifiers'},C
progress out,V N,POSSEFAILURE,NM N,V VM,{'irrlicht.srcml.xml_identifiers'},C
r hdr,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C
raw nor,NM N,NM N,NM N,NM CJ,{'blender.srcml.xml_identifiers'},C
rcp len 2,NM N D,N N N,NM NM N,N N D,{'bullet3.srcml.xml_identifiers'},C
rem F,NM N,N N,NM N,V N,{'irrlicht.srcml.xml_identifiers'},C
rgb real,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
root ptr,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
selection bounds,NM NPL,N N,NM N,N NPL,{'gimp.srcml.xml_identifiers'},C
source index,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C
sz Joint Ranges,NM NM NPL,N NM N,NM NM N,P N NPL,{'bullet3.srcml.xml_identifiers'},C
target chars,NM NPL,N N,NM N,N V,{'grpc.srcml.xml_identifiers'},C
text Chopped 2,N NM D,N NM N,NM NM N,N N D,{'swift.srcml.xml_identifiers'},C
tmp vec,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
to XYZ,P N,P N,NM N,P N,{'bullet3.srcml.xml_identifiers'},C
txt alias,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C
update area,NM N,N N,NM N,V N,{'gimp.srcml.xml_identifiers'},C
v proj axis,NM NM N,NM N N,NM NM N,N NM N,{'blender.srcml.xml_identifiers'},C
wat id,NM N,N N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C
within vertically,P VM,POSSEFAILURE,NM N,P VM,{'gimp.srcml.xml_identifiers'},C
worst score,NM N,NM N,NM N,NM N,{'opencv.srcml.xml_identifiers'},C
accelerometer Data,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C
addr,N,N,N,N,{'grpc.srcml.xml_identifiers'},C
build time minor,NM NM N,N N N,NM NM N,V N NM,{'gimp.srcml.xml_identifiers'},C
convex Shapes,NM NPL,NM N,NM N,N N,{'bullet3.srcml.xml_identifiers'},C
current median,NM N,NM N,NM N,NM N,{'Telegram.srcml.xml_identifiers'},C
curvatures height,NM N,N N,NM N,NPL N,{'gimp.srcml.xml_identifiers'},C
default,N,N,N,N,{'gimp.srcml.xml_identifiers'},C
default open,NM N,V N,NM N,N NM,{'bullet3.srcml.xml_identifiers'},C
dest points,NM NPL,NM N,NM N,N NPL,{'gimp.srcml.xml_identifiers'},C
destroy with parent,V P N,V P N,NM NM N,V P N,{'gimp.srcml.xml_identifiers'},C
dispose,N,V,N,V,{'gimp.srcml.xml_identifiers'},C
down sample,NM N,P N,NM N,P N,{'Telegram.srcml.xml_identifiers'},C
echo path change,V NM N,V N N,NM NM N,V N N,{'Telegram.srcml.xml_identifiers'},C
esa,N,N,N,N,{'irrlicht.srcml.xml_identifiers'},C
fine priority,NM N,NM N,NM N,NM N,{'Telegram.srcml.xml_identifiers'},C
first type label,NM NM N,NM N N,NM NM N,NM N N,{'gimp.srcml.xml_identifiers'},C
frame,N,N,N,N,{'Telegram.srcml.xml_identifiers'},C
frame pixel coords,NM NM NPL,N N N,NM NM N,N N NPL,{'blender.srcml.xml_identifiers'},C
full path,NM N,NM N,NM N,NM N,{'gimp.srcml.xml_identifiers'},C
in buffer,NM N,P N,NM N,P N,{'openFrameworks.srcml.xml_identifiers'},C
l b layer,NM NM N,NM N N,NM NM N,N N N,{'blender.srcml.xml_identifiers'},C
line index mask len,NM NM NM N,N N N N,NM NM NM N,N N N N,{'blender.srcml.xml_identifiers'},C
mapped color,NM N,N N,NM N,NM N,{'gimp.srcml.xml_identifiers'},C
n layers,NM NPL,N N,NM N,N NPL,{'gimp.srcml.xml_identifiers'},C
n vector,NM N,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C
next func,NM N,NM N,DT N,NM N,{'blender.srcml.xml_identifiers'},C
on connect,P N,POSSEFAILURE,NM N,P V,{'grpc.srcml.xml_identifiers'},C
out buf,NM N,P N,NM N,P N,{'irrlicht.srcml.xml_identifiers'},C
out table,NM N,P N,NM N,P N,{'bullet3.srcml.xml_identifiers'},C
overlap,N,N,N,V,{'Telegram.srcml.xml_identifiers'},C
own flags,NM NPL,NM N,NM N,NM NPL,{'blender.srcml.xml_identifiers'},C
p global info 32,PRE NM N D,N NM N NM,NM NM NM N,N NM N D,{'bullet3.srcml.xml_identifiers'},C
Pass Machine Instructions,NM NM NPL,NM N N,NM NM N,V N NPL,{'ogre.srcml.xml_identifiers'},C
pi Hash,PRE N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},C
point index,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
print t,V N,V N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
radius,N,N,N,N,{'gimp.srcml.xml_identifiers'},C
rets,NPL,V,N,NPL,{'blender.srcml.xml_identifiers'},C
save Dual Cells,V NM NPL,V NM N,NM NM N,P NM NPL,{'ogre.srcml.xml_identifiers'},C
secondary range,NM N,NM N,NM N,NM N,{'gimp.srcml.xml_identifiers'},C
size on first use,N P NM N,V P NM N,NM NM NM N,N P NM N,{'bullet3.srcml.xml_identifiers'},C
speech in,NM N,POSSEFAILURE,NM N,N P,{'Telegram.srcml.xml_identifiers'},C
strength,N,N,N,N,{'blender.srcml.xml_identifiers'},C
table 2 id,N D N,N NM N,NM NM N,N D N,{'gimp.srcml.xml_identifiers'},C
time range,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
want x,V N,N N,NM N,V N,{'openFrameworks.srcml.xml_identifiers'},C
z p i,NM NM N,N N N,NM NM N,N N N,{'openFrameworks.srcml.xml_identifiers'},C
zoom x y,NM N N,N NM N,NM NM N,V N N,{'blender.srcml.xml_identifiers'},C
ambient,N,NM,N,NM,{'openFrameworks.srcml.xml_identifiers'},C
average In Bucket Used Slot Count,N P NM NM NM N,V P N NM N N,NM NM NM NM NM N,N P N NM N N,{'kdevelop.srcml.xml_identifiers'},C
Bitmap Data Size,NM NM N,N N N,NM NM N,N N N,{'irrlicht.srcml.xml_identifiers'},C
bm log,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
Bounding Radius,NM N,N N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C
canvas item,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
char strings,NM NPL,N N,NM N,N NPL,{'bullet3.srcml.xml_identifiers'},C
colored Count,NM N,NM N,NM N,NM N,{'kdevelop.srcml.xml_identifiers'},C
component Type,NM N,N N,NM N,N N,{'ogre.srcml.xml_identifiers'},C
creds,NPL,N,N,NPL,{'grpc.srcml.xml_identifiers'},C
crop node,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
debug policy,NM N,N N,NM N,V N,{'gimp.srcml.xml_identifiers'},C
default instance void,NM NM N,N N N,NM NM N,N N N,{'opencv.srcml.xml_identifiers'},C
delay agnostic enabled,NM N V,N N V,NM NM N,N NM NM,{'Telegram.srcml.xml_identifiers'},C
depth cb,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C
depth Stencil As Texture,NM N P N,POSSEFAILURE,NM NM NM N,N N P N,{'openFrameworks.srcml.xml_identifiers'},C
Detect Leaks,V NPL,V N,NM N,V NPL,{'grpc.srcml.xml_identifiers'},C
edit count,NM N,N N,NM N,V N,{'gimp.srcml.xml_identifiers'},C
EGLEW ANDROID frame buffer target,PRE PRE NM NM N,N N N N N,NM NM NM NM N,NM N N N N,{'blender.srcml.xml_identifiers'},C
eglew Create Platform Window Surface,PRE V NM NM N,N N N N N,NM NM NM NM N,NPL V N N N,{'blender.srcml.xml_identifiers'},C
EGLEW KHR stream fifo,PRE PRE NM N,N N N N,NM NM NM N,N N N N,{'blender.srcml.xml_identifiers'},C
enabled subdevices,NM NPL,N N,NM N,NM NPL,{'openFrameworks.srcml.xml_identifiers'},C
flag,N,N,N,N,{'blender.srcml.xml_identifiers'},C
free cell,NM N,NM N,NM N,NM N,{'gimp.srcml.xml_identifiers'},C
glew Index Mask,PRE NM N,N N N,NM NM N,V N N,{'blender.srcml.xml_identifiers'},C
glew Render Mode,PRE NM N,N N N,NM NM N,V N N,{'blender.srcml.xml_identifiers'},C
glew Validate Program Pipeline,PRE V NM N,N N N N,NM NM NM N,V N N N,{'ogre.srcml.xml_identifiers'},C
H Wnd,N NM,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C
height int,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
img buffer original,NM N NM,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C
index Data,NM NPL,N N,NM N,N N,{'ogre.srcml.xml_identifiers'},C
index To Loc Format,N P NM N,V P N N,NM NM NM N,N P N N,{'bullet3.srcml.xml_identifiers'},C
Is Indirect Result,V NM N,V NM N,NM NM N,V NM N,{'swift.srcml.xml_identifiers'},C
is partial,V N,N N,NM N,V NM,{'opencv.srcml.xml_identifiers'},C
key sym,NM N,NM N,NM N,NM N,{'ogre.srcml.xml_identifiers'},C
layer mask source node,NM NM NM N,N N N N,NM NM NM N,N N N N,{'gimp.srcml.xml_identifiers'},C
Link Name,NM N,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C
m num Visual Shapes Copied,PRE NM NM NM N,NM N NM N V,NM NM NM NM N,N N N N N,{'bullet3.srcml.xml_identifiers'},C
m post Fix,PRE NM N,NM N N,NM NM N,N N V,{'bullet3.srcml.xml_identifiers'},C
m remove User Data Response Args,PRE NM NM NM NM NPL,NM N N N N N,NM NM NM NM NM N,N V N N N N,{'bullet3.srcml.xml_identifiers'},C
m Shadow Receiver Pass,PRE NM NM N,NM N N N,NM NM NM N,N N N N,{'ogre.srcml.xml_identifiers'},C
m Sky Box Orientation,PRE NM NM N,NM N N N,NM NM NM N,N N N N,{'ogre.srcml.xml_identifiers'},C
m Sky Plane Render Queue,PRE NM NM NM N,NM N NM N N,NM NM NM NM N,N N N N N,{'ogre.srcml.xml_identifiers'},C
m transform Change Args,PRE NM NM NPL,NM N N N,NM NM NM N,N V N N,{'bullet3.srcml.xml_identifiers'},C
m VS Out Light Position,PRE NM NM NM N,POSSEFAILURE,NM NM NM NM N,N N P NM N,{'ogre.srcml.xml_identifiers'},C
Nav Visible,N NM,N NM,NM N,N N,{'bullet3.srcml.xml_identifiers'},C
num axis events,NM NM NPL,N N N,NM NM N,N N NPL,{'gimp.srcml.xml_identifiers'},C
num body parts,NM NM NPL,N N N,NM NM N,N N NPL,{'irrlicht.srcml.xml_identifiers'},C
num cols,NM NPL,N N,NM N,N NPL,{'blender.srcml.xml_identifiers'},C
num groups,NM NPL,N N,NM N,N NPL,{'irrlicht.srcml.xml_identifiers'},C
num light,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
num Tess Face Data,NM NM NM N,N N N N,NM NM NM N,N N N N,{'blender.srcml.xml_identifiers'},C
Number Start,NM N,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C
other side x,NM NM N,NM NM N,DT NM N,NM NM N,{'gimp.srcml.xml_identifiers'},C
packet sent,NM N,N N,NM N,N NM,{'grpc.srcml.xml_identifiers'},C
pickup,N,N,N,N,{'irrlicht.srcml.xml_identifiers'},C
pixel Width,NM N,N N,NM N,V N,{'irrlicht.srcml.xml_identifiers'},C
proof profile,NM N,NM N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
q tail,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C
RC Identity,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C
Replacement Length,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C
rotate desc,NM N,N N,NM N,V N,{'gimp.srcml.xml_identifiers'},C
samplers,NPL,N,N,NPL,{'ogre.srcml.xml_identifiers'},C
selection width label,NM NM N,N N N,NM NM N,N N N,{'gimp.srcml.xml_identifiers'},C
session ticket key,NM NM N,N N N,NM NM N,N N N,{'grpc.srcml.xml_identifiers'},C
spline max len,NM NM N,N N N,NM NM N,N N N,{'gimp.srcml.xml_identifiers'},C
Step No,NM N,N N,NM DT,V N,{'bullet3.srcml.xml_identifiers'},C
tot channel,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
tot elem,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
user hook 3,NM N D,N N N,NM NM N,N N D,{'blender.srcml.xml_identifiers'},C
video chunk cb,NM NM N,N N N,NM NM N,N N N,{'openFrameworks.srcml.xml_identifiers'},C
X dnd Type List,NM NM NM N,NM N N N,NM NM NM N,N N N N,{'blender.srcml.xml_identifiers'},C
x origin,NM N,NM N,NM N,N N,{'bullet3.srcml.xml_identifiers'},C
X scale,NM N,NM N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C
ya Bottom,NM N,N N,NM N,PR N,{'calligra.srcml.xml_identifiers'},C
zero plane res,NM NM N,NM NM N,PR NM N,D N NPL,{'openFrameworks.srcml.xml_identifiers'},C
Area Info Dialog t,NM NM NM N,N N N N,NM NM NM N,N N N N,{'gimp.srcml.xml_identifiers.idents'},C
Child Location,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers.idents'},C
Command t,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers.idents'},C
D obj Points,NM NM NPL,NM N N,NM NM N,N N NPL,{'gimp.srcml.xml_identifiers.idents'},C
Dialog Elements,NM NPL,N N,NM N,NM NPL,{'gimp.srcml.xml_identifiers.idents'},C
Check Writeable,V NM,V NM,V N,V NM,{'grpc.srcml.xml_identifiers'},C#
Get Longitude,V N,V N,V N,V N,{'grpc.srcml.xml_identifiers'},C#
atn State,NM N,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},C#
generate Rule Bypass Transitions,V NM NM NPL,V N N N,NM NM NM N,V N N NPL,{'antlr4.srcml.xml_identifiers'},C#
inertial Frame,NM N,NM N,NM N,NM N,{'bullet3.srcml.xml_identifiers'},C#
trim Parse Trees,V NM NPL,V N N,NM NM N,V N N,{'antlr4.srcml.xml_identifiers'},C#
bound Port,NM N,NM N,NM N,NM N,{'grpc.srcml.xml_identifiers'},C#
comparison Value,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},C#
Added Unicode Smp,NM NM N,N N N,NM NM N,N N N,{'antlr4.srcml.xml_identifiers'},C#
Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,N N NM NM N N N,NM NM NM NM NM NM N,N N N N N N N,{'grpc.srcml.xml_identifiers'},C#
file Descriptor Proto,NM NM N,N N NM,NM NM N,V N N,{'grpc.srcml.xml_identifiers'},C#
time spec,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C#
uuid,N,N,N,N,{'antlr4.srcml.xml_identifiers'},C#
Call Error Extensions,NM NM NPL,N N N,NM NM N,V N NPL,{'grpc.srcml.xml_identifiers'},C#
Cpp Generator Services,NM NM NPL,N N N,NM NM N,N N NPL,{'grpc.srcml.xml_identifiers'},C#
Default Ssl Roots Override,NM NM NPL NM,N N N N,NM NM NM N,N N N N,{'grpc.srcml.xml_identifiers'},C#
Deserialization Context,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C#
Main Class,NM N,NM N,NM N,N N,{'grpc.srcml.xml_identifiers'},C#
Mono P Invoke Callback Attribute,NM NM NM NM N,NM N N N N,NM NM NM NM N,N N N N N,{'grpc.srcml.xml_identifiers'},C#
Num,N,N,N,N,{'grpc.srcml.xml_identifiers'},C#
Rule Version Attribute,NM NM N,N N N,NM NM N,N N N,{'antlr4.srcml.xml_identifiers'},C#
Server Safe Handle,NM NM N,N NM N,NM NM N,N N V,{'grpc.srcml.xml_identifiers'},C#
Add Bezier Curve,V NM N,V N N,V NM N,V N N,{'bullet3.srcml.xml_identifiers'},C++
Add Log To Stream,V N P N,V N P N,V N P N,V V P N,{'Telegram.srcml.xml_identifiers'},C++
add Object Index,V NM N,V N N,V NM N,V N N,{'blender.srcml.xml_identifiers'},C++
adjusted Gradient,NM N,NM N,V N,V N,{'calligra.srcml.xml_identifiers'},C++
all Open Files String,DT NM NM N,V N N,DT NM NM N,DT N N N,{'kdevelop.srcml.xml_identifiers'},C++
append Sequence,V N,V N,V N,V N,{'kdevelop.srcml.xml_identifiers'},C++
ARGB Subtract Row C,N V NM N,POSSEFAILURE,PRE V NM NM N,N N N N,{'Telegram.srcml.xml_identifiers'},C++
AUD Sound envelope,PRE NM N,N NM N,V NM N,N N N,{'blender.srcml.xml_identifiers'},C++
b3 Push Profile Timing,PRE V NM N,V N N,PRE D V NM N,V N N N,{'bullet3.srcml.xml_identifiers'},C++
calc LUT,V N,N N,V N,V N,{'opencv.srcml.xml_identifiers'},C++
check GL Support,V NM N,V N N,V V N,V N N,{'openFrameworks.srcml.xml_identifiers'},C++
check Sign,V N,V N,V N,V N,{'QuantLib.srcml.xml_identifiers'},C++
check T,V N,V N,V N,V N,{'QuantLib.srcml.xml_identifiers'},C++
choose Document,V N,V N,V N,V N,{'kdevelop.srcml.xml_identifiers'},C++
Clear Active ID,V NM N,V NM N,V NM N,NM NM N,{'bullet3.srcml.xml_identifiers'},C++
compare Inverse And Forward Dynamics,V NM CJ NM NPL,V NM N NM N,V NM NM NM N,V N CJ N N,{'bullet3.srcml.xml_identifiers'},C++
context Url List,NM NM N,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
Convert To Php Namespace,V P NM N,V P N N,V P NM N,V P N N,{'grpc.srcml.xml_identifiers'},C++
create Duplicate Change Id,V NM NM N,V NM N N,V NM NM N,V N N N,{'calligra.srcml.xml_identifiers'},C++
create In Indices,V NM NPL,V P N,V P N,V P NPL,{'ogre.srcml.xml_identifiers'},C++
create metadata array,V NM N,V N N,V NM N,V N N,{'grpc.srcml.xml_identifiers'},C++
create Sub Buffer,V NM N,V N N,V NM N,V N N,{'opencv.srcml.xml_identifiers'},C++
current Slide,NM N,N V,NM N,NM N,{'calligra.srcml.xml_identifiers'},C++
curves,NPL,V,V,NPL,{'QuantLib.srcml.xml_identifiers'},C++
declare Component,V N,V N,V N,V N,{'kdevelop.srcml.xml_identifiers'},C++
dividend Discount Mother,NM NM N,N N V,NM NM N,N N N,{'QuantLib.srcml.xml_identifiers'},C++
do Print After,V V P,V N P,V V P,V V P,{'swift.srcml.xml_identifiers'},C++
effective Style,NM N,NM N,NM N,NM N,{'calligra.srcml.xml_identifiers'},C++
emit Address,V N,V N,V N,V N,{'swift.srcml.xml_identifiers'},C++
enable Background Opacity,V NM N,V N N,V NM N,V N N,{'calligra.srcml.xml_identifiers'},C++
enable Materials,V NPL,V N,V N,V NPL,{'openFrameworks.srcml.xml_identifiers'},C++
extract Component,V N,V N,V N,V N,{'QuantLib.srcml.xml_identifiers'},C++
fence,N,V,V,N,{'opencv.srcml.xml_identifiers'},C++
find Hashable Base Type,V NM NM N,V NM NM N,V NM NM N,V N N N,{'swift.srcml.xml_identifiers'},C++
Float,N,N,V,V,{'bullet3.srcml.xml_identifiers'},C++
follow Component,V N,V N,V N,V N,{'swift.srcml.xml_identifiers'},C++
Generate Service Descriptor Property,V NM NM N,V N N N,V NM NM N,V N N N,{'grpc.srcml.xml_identifiers'},C++
get Constant Reference For Protocol Descriptor,V NM N P NM N,V NM N P N N,V NM N P NM N,V NM N P N N,{'swift.srcml.xml_identifiers'},C++
get Controller Transform,V NM N,V N N,V NM N,V N N,{'bullet3.srcml.xml_identifiers'},C++
get Default Atlasing Attributes,V NM NM NPL,V N N N,V NM NM N,V N N NPL,{'ogre.srcml.xml_identifiers'},C++
get Diffuse Colour,V NM N,V NM N,V NM N,V N N,{'ogre.srcml.xml_identifiers'},C++
